Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Goals,Shots,SoT,SoT%,G/Sh,ShoFK,ShoPK,PKatt,PasTotAtt,PasTotCmp%,PasShoAtt,PasShoCmp%,PasMedAtt,PasMedCmp%,PasLonAtt,PasLonCmp%,Assists,PPA,CrsPA,PasProg,PasAtt,PasCrs,TI,CK,PasCmp,SCA,GCA,Tkl,TklWon,TklDri%,TklDriPast,BlkSh,Int,Clr,Touches,ToAtt,ToSuc,ToSuc%,ToTkl,Carries,CarProg,Car3rd,Rec,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,Recov,AerWon,AerLost,AerWon%
Bartosz Bereszynski,POL,DF,Sampdoria,Serie A,30,1992,15,1198,0,0.23,0,0,0,0,0,0,48.4,73.1,23.8,90.5,15.8,68.1,5.49,38.4,0,0.75,0.23,3.31,48.4,2.33,10,0,35.4,0.6,0,2.11,1.35,70.8,0.53,0.3,1.58,1.88,57.1,1.13,0.3,26.7,0.83,24.7,1.5,1.2,26.6,0.08,0,0.98,0.75,0,2.33,1.35,0,0,5.11,1.35,0.83,62.1
Patrick Berg,NOR,MFFW,Lens,Ligue 1,25,1997,3,25,0,0,0,0,0,0,0,0,66.7,85,26.7,100,20,83.3,10,100,0,3.33,0,10,66.7,0,0,0,56.7,6.67,0,0,0,0,3.33,0,3.33,0,76.7,3.33,0,0,3.33,56.7,0,0,53.3,0,0,3.33,0,0,0,0,0,0,3.33,0,0,0
Mitchell van Bergen,NED,FWDF,Reims,Ligue 1,23,1999,18,629,0,2.43,1.29,52.9,0,0,0,0,25.9,62.4,11.1,83.3,7.29,54.9,4.57,34.4,0.14,1.14,0.43,1.43,25.9,5.43,0.29,1.71,16.1,2.71,0.43,1.71,0.71,42.9,1.14,0.29,0.57,0.86,38.4,3.14,0.71,22.7,2.29,27.3,4.14,3.14,23.1,0.14,0,1,1,0.43,5.43,0.71,0.14,0.14,6,0.29,0.86,25
Mergim Berisha,GER,FW,Augsburg,Bundesliga,24,1998,14,1143,6,2.91,0.79,27,0.11,0.31,0.16,0.24,20.8,45.8,7.24,57.6,7.24,51.1,3.78,33.3,0.31,0.47,0.24,1.57,20.8,5.51,0,2.6,9.53,2.44,0.47,0.55,0.24,40,0.24,0,0,1.26,33.1,1.97,0.31,16,1.26,15.4,1.18,1.02,18.7,0.63,0.08,1.73,1.26,0.94,5.51,0.24,0,0,2.76,2.44,3.7,39.7
Quentin Bernard,FRA,DF,Auxerre,Ligue 1,33,1989,7,630,0,0,0,0,0,0,0,0,59.6,77.7,22.9,91.9,22,79.2,11.9,53,0.14,0.86,0.57,3.86,59.6,2,8.14,0,46.3,1.57,0.14,1.29,1,46.7,1.14,0.14,2.14,2.43,67.6,0.57,0.14,25,0.14,46.3,0.57,2.14,41.4,0,0,0.86,0.43,0,2,1,0,0,5.57,0.43,1.14,27.3
Paul Bernardoni,FRA,GK,Angers,Ligue 1,25,1997,14,1260,0,0,0,0,0,0,0,0,25.2,70,3.71,96.2,9.14,96.9,12.1,42,0,0,0,0,25.2,0,0,0,17.6,0,0,0.07,0,100,0,0,0,0.29,28.1,0,0,0,0,16.7,0,0,9.29,0,0,0.07,0,0,0,0,0,0.07,0.71,0.36,0.07,83.3
Juan Bernat,ESP,DF,Paris S-G,Ligue 1,29,1993,17,994,1,0.45,0.36,80,0.2,0,0,0,57.2,92.8,35.5,94.4,16.5,92.8,1.45,75,0.18,0.45,0.09,1.73,57.2,0.64,4.45,0,53.1,2,0.27,2,1,59.3,1,0.09,0.45,1,64.5,2,0.82,40.9,1.09,49,1.36,0.91,47,0.09,0,0.45,0.55,0,0.64,1,0,0,5.09,0.36,0.36,50
Victor Bernth Kristiansen,DEN,DF,Leicester City,Premier League,20,2002,2,170,0,0.53,0,0,0,0,0,0,50.5,65.6,22.6,86,16.8,59.4,7.37,42.9,0,0.53,0,3.68,50.5,2.63,11.6,1.58,33.2,3.16,1.05,6.32,4.74,100,0,0,0,4.21,63.7,2.63,1.58,60,0,29.5,3.16,2.11,28.9,0,0,0,0.53,0,2.63,4.74,0,0,4.74,0.53,2.11,20
Jason Berthomier,FRA,MF,Clermont Foot,Ligue 1,33,1990,2,23,0,0,0,0,0,0,0,0,63.3,100,43.3,100,13.3,100,3.33,100,0,0,0,3.33,63.3,0,0,3.33,63.3,0,0,0,0,0,0,0,0,0,66.7,0,0,0,0,53.3,0,0,56.7,0,0,0,0,0,0,0,0,0,6.67,0,3.33,0
Beto,GNB,FW,Udinese,Serie A,25,1998,21,1203,7,2.31,0.9,38.7,0.23,0,0,0,13.7,62,8.21,70,2.99,60,0.75,50,0.07,0.15,0,0.45,13.7,0.52,0,0,8.51,1.87,0.07,0.97,0.67,37.5,0.37,0.07,0.15,1.12,28.5,2.46,0.82,33.3,1.49,16.4,0.97,0.6,21.3,0.07,0,1.64,1.19,0.3,0.52,0.67,0,0,1.27,3.36,2.91,53.6
Owen Bevan,WAL,DF,Bournemouth,Premier League,19,2003,1,9,0,0,0,0,0,0,0,0,30,66.7,10,100,10,100,0,0,0,0,0,0,30,0,0,0,20,0,0,0,0,0,0,0,0,0,30,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0
Matteo Bianchetti,ITA,DF,Cremonese,Serie A,29,1993,15,1243,1,0.43,0.29,66.7,0.17,0,0,0,38.9,76.7,12.4,86.5,18.3,85.4,7.03,43.3,0,0.36,0.07,2.03,38.9,0.14,0.07,0,29.9,0.72,0,1.3,0.72,60,0.58,1.01,0.72,5,49.5,0.14,0.14,100,0,22.4,0.29,0.07,24.7,0.07,0,0.87,0.22,0,0.14,0.72,0,0.07,5.07,2.25,1.59,58.5
Alessandro Bianco,ITA,MF,Fiorentina,Serie A,20,2002,3,112,0,1.67,0.83,50,0,0,0,0,45,85.2,20,83.3,20,83.3,4.17,100,0,0.83,0,5,45,0.83,0,0,38.3,2.5,0,2.5,0.83,100,0,0,0,0,53.3,0.83,0,0,0,28.3,2.5,0,39.2,0,0,2.5,2.5,0,0.83,0.83,0,0,4.17,0.83,0.83,50
Giulian Biancone,FRA,DF,Nott'ham Forest,Premier League,22,2000,2,17,0,0,0,0,0,0,0,0,105,71.4,35,85.7,50,80,15,33.3,0,0,0,0,105,5,10,0,75,5,0,10,5,100,0,0,5,0,125,0,0,0,0,50,10,5,65,0,0,0,0,0,5,5,0,0,25,10,0,100
Ermin Bicakcic,BIH,DF,Hoffenheim,Bundesliga,33,1990,2,59,0,0,0,0,0,0,0,0,48.6,82.4,10,85.7,25.7,88.9,12.9,66.7,0,0,0,1.43,48.6,1.43,1.43,0,40,0,0,1.43,0,33.3,2.86,1.43,4.29,1.43,65.7,0,0,0,0,40,0,1.43,34.3,0,0,0,0,0,1.43,0,0,0,4.29,2.86,1.43,66.7
Pedro Bigas,ESP,DF,Elche,La Liga,32,1990,17,1278,0,0.85,0.35,41.7,0,0,0,0,46.9,79.7,15.1,92.1,20.6,89.7,9.3,49.2,0,0.07,0.07,3.73,46.9,0.35,0.42,0,37.4,0.63,0.14,1.55,0.85,56.3,0.49,0.42,1.62,3.94,57,0.42,0.28,66.7,0.14,32.7,0.99,0.85,33.9,0.21,0.14,0.63,0.7,0,0.35,0.85,0.07,0.07,6.06,1.13,0.49,69.6
Jaka Bijol,SVN,DF,Udinese,Serie A,24,1999,17,1383,2,0.65,0.19,30,0.2,0,0,0,41.4,84,9.74,86.7,23.1,92.4,7.21,63.1,0,0,0,2.01,41.4,0,0,0,34.8,0.45,0.06,1.04,0.65,70,0.19,0.78,0.97,6.3,53.6,0.13,0.06,50,0.06,27.5,0.13,0.26,28.6,0.26,0,0.65,0.13,0,0,0.65,0,0,4.68,2.92,1.88,60.8
El Bilal Toure,MLI,FW,Almer�a,La Liga,21,2001,15,935,4,2.31,1.06,45.8,0.17,0,0,0,19.1,70.9,11.6,81,5.1,67.9,0.1,100,0.19,0.19,0.1,0.87,19.1,0.29,0,0,13.6,2.69,0.19,0.29,0.19,0,0.19,0.1,0,1.63,30.6,1.06,0.29,27.3,0.67,14.6,1.15,1.06,19.5,0,0,2.21,0.29,1.15,0.29,0.19,0,0,3.46,3.27,3.17,50.7
El Bilal Toure,MLI,FW,Reims,Ligue 1,21,2001,3,91,0,1,1,100,0,0,0,0,20,80,11,81.8,7,85.7,1,0,0,1,0,1,20,0,0,0,16,2,0,0,0,0,0,0,0,1,29,2,1,50,1,13,0,0,17,0,0,3,1,0,0,0,0,0,3,3,6,33.3
Philip Billing,DEN,MFFW,Bournemouth,Premier League,26,1996,21,1555,4,1.16,0.58,50,0.2,0.17,0,0,31.2,74.8,15.7,81.9,9.13,79.1,2.95,52.9,0.06,0.29,0.12,2.2,31.2,1.21,0.12,0.12,23.3,1.68,0.23,2.2,1.21,50,0.58,0.29,1.04,1.73,43.1,1.39,0.69,50,0.58,22.8,1.33,1.1,27.8,0.12,0,1.04,1.27,0.17,1.21,1.21,0,0,4.86,1.85,1.16,61.5
Jean-Claude Billong,CMR,MF,Clermont Foot,Ligue 1,29,1993,1,23,0,0,0,0,0,0,0,0,113.3,97.1,33.3,100,70,100,10,66.7,0,0,0,13.3,113.3,3.33,0,0,110,0,0,0,0,0,0,3.33,3.33,0,116.7,0,0,0,0,96.7,0,0,86.7,0,0,0,0,0,3.33,0,0,0,10,6.67,6.67,50
Cristiano Biraghi,ITA,DF,Fiorentina,Serie A,30,1992,20,1622,0,0.78,0.06,7.1,0,0.33,0,0.06,72.1,72,24.9,88.8,28.5,79.7,15.7,41.3,0.11,1.44,0.94,6.06,72.1,11.3,10,6.17,51.9,4.89,0.22,2.17,1.28,65.7,0.67,0.28,0.28,1.44,79.4,0.72,0.22,30.8,0.28,36.7,2.44,1.94,44.2,0,0,0.89,1.28,0.06,11.3,1.28,0,0,4.78,0.61,0.89,40.7
Samuele Birindelli,ITA,DF,Monza,Serie A,23,1999,18,880,0,1.22,0.31,25,0,0,0,0,51,72.8,20.6,85.6,21,74.8,7.04,44.9,0.1,1.22,0.92,2.55,51,5.61,7.96,0,37.1,2.65,0.41,2.04,1.02,76.5,0.41,0.51,1.22,1.63,62.7,1.53,0.61,40,0.82,31.8,3.98,2.35,38.7,0.31,0,0.82,0.92,0.2,5.61,1.02,0,0,4.9,0.2,0.51,28.6
Veljko Birmancevic,SRB,FWMF,Toulouse,Ligue 1,24,1998,14,268,0,2,0.33,16.7,0,0,0,0,30.3,67,17.3,73.1,7.67,78.3,1.33,25,0,0.67,0,4.67,30.3,0.67,0,0,20.3,2.67,0.67,3.33,2.33,50,2.33,0.67,1.67,0,46,4,0.67,16.7,2.33,34.7,4.33,2.33,33,0,0,1,2,0,0.67,2.33,0.33,0,4.67,0.33,2.33,12.5
Tom Bischof,GER,MFFW,Hoffenheim,Bundesliga,17,2005,6,235,0,1.92,0.38,20,0,0,0,0,30.4,75.9,14.2,78.4,8.85,87,3.85,60,0,1.15,0.38,3.85,30.4,2.31,0.38,0.77,23.1,2.69,0,3.46,2.31,83.3,0.38,0,0,0,46.5,2.69,0,0,1.92,25.8,2.69,3.85,27.7,0,0,2.69,1.92,0,2.31,2.31,0,0,3.46,0,1.15,0
Yves Bissouma,MLI,MF,Tottenham,Premier League,26,1996,20,814,0,0.56,0,0,0,0,0,0,63.4,90,31.2,94.7,25,92.4,3.67,75.8,0,0.44,0.11,5,63.4,0.22,0,0,57.1,2.78,0.11,1.33,1.11,28.6,0.56,0.56,1,0.78,71,0.78,0.56,71.4,0.22,41.2,1.11,0.89,51.7,0.56,0,1.56,0.78,0.11,0.22,1.11,0,0,6.56,0.67,0.67,50
Kristijan Bistrovic,CRO,MF,Lecce,Serie A,24,1998,11,461,0,1.57,0.2,12.5,0,0.78,0,0,27.5,72.1,10.2,86.5,9.41,72.9,4.9,64,0,0.39,0.2,3.14,27.5,4.12,0,1.37,19.8,1.96,0,0.59,0.2,0,0.78,0,0,0.78,33.1,0.2,0,0,0.2,16.3,0.78,0.2,19.4,0,0,0.39,0.78,0.2,4.12,0.2,0,0,2.94,0.39,0.98,28.6
Leonardo Bittencourt,GER,MFDF,Werder Bremen,Bundesliga,29,1993,14,860,2,1.35,0.63,46.2,0.15,0.1,0,0,41,71.1,18.4,85.9,14.3,75.9,4.06,33.3,0,0.83,0.1,2.92,41,2.08,1.04,0.1,29.2,2.08,0.1,2.29,1.25,44.4,1.04,0,0.83,0.42,53.1,2.71,0.94,34.6,1.25,33.4,2.29,1.98,36.9,0.52,0,2.92,2.08,0.31,2.08,1.25,0,0,6.56,0.21,1.04,16.7
Marco Bizot,NED,GK,Brest,Ligue 1,31,1991,21,1890,0,0,0,0,0,0,0,0,27.7,71.8,1.95,100,10.5,98.6,15.1,49.7,0,0.05,0,0,27.7,0,0,0,19.9,0.14,0,0,0,0,0,0,0,0.81,31,0,0,0,0,18.3,0,0,11,0.14,0,0,0.1,0,0,0,0,0,0.71,0.19,0.05,80
Blanco,ESP,MF,C�diz,La Liga,22,2000,3,158,0,0,0,0,0,0,0,0,33.9,93.4,18.3,93.9,13.3,91.7,0.56,100,0,0.56,0,1.11,33.9,0,0,0,31.7,1.11,0,3.33,2.22,66.7,1.11,0,0.56,1.67,45.6,0.56,0,0,0.56,22.2,0.56,0.56,29.4,0,0,1.11,0.56,0,0,2.22,0,0,3.89,1.67,0,100
Lautaro Blanco,ARG,MFDF,Elche,La Liga,23,1999,5,230,0,0,0,0,0,0,0,0,40,57.7,13.5,85.7,13.1,50,12.3,40.6,0.38,1.15,0.77,3.46,40,8.08,10.4,0.38,23.1,1.54,0.38,1.92,0.77,80,0.38,0.38,0.38,1.54,49.2,1.54,0.38,25,1.15,24.2,1.54,1.54,22.7,0.38,0,0.38,0,0,8.08,0.77,0,0,6.92,0,0.77,0
Ruben Blanco,ESP,GK,Marseille,Ligue 1,27,1995,4,360,0,0,0,0,0,0,0,0,38.3,78.4,6.75,100,16.5,98.5,14.5,44.8,0,0,0,0,38.3,0,0,0,30,0.25,0,0,0,0,0,0,0,0,40,0,0,0,0,29.5,0,0,21,0,0,0,0,0,0,0,0,0,1.5,0,0,0
Ludovic Blas,FRA,MFFW,Nantes,Ligue 1,25,1997,22,1667,4,3.3,1.03,31.1,0.03,0.16,0.11,0.16,37.2,79.7,13.4,87.4,14.6,83.8,7.19,65.4,0.05,0.92,0.22,5.03,37.2,3.3,0.27,1.08,29.7,4.27,0.22,1.62,1.14,40.7,0.86,0.05,0.7,0.32,51.6,4.81,2,41.6,2.27,39.8,3.24,2.22,36.7,0.11,0,2,2,0.11,3.3,1.14,0,0,5.57,0.49,0.97,33.3
Janis Blaswich,GER,GK,RB Leipzig,Bundesliga,31,1991,13,1170,0,0,0,0,0,0,0,0,39.2,88.2,9.77,100,19.5,100,9.77,52.8,0,0,0,0.08,39.2,0,0,0,34.6,0,0,0,0,0,0,0,0,0.38,40.8,0.08,0.08,100,0,26.7,0,0,24.8,0,0,0,0.23,0,0,0,0,0,1.38,0.54,0,100
Miha Blazic,SVN,DF,Angers,Ligue 1,29,1993,17,1485,2,0.3,0.12,40,0.4,0,0,0,55,86.9,15.8,91.6,28.2,93.1,9.7,64.4,0,0.12,0,2.61,55,0.06,0.12,0,47.8,0.24,0.06,0.18,0.18,33.3,0.36,0.79,0.97,3.33,61.7,0,0,0,0,45.1,0,0,41.1,0.12,0,0.55,0.79,0,0.06,0.18,0,0,5.52,1.94,0.85,69.6
Joaquin Blazquez,ARG,GK,Brest,Ligue 1,22,2001,1,90,0,0,0,0,0,0,0,0,29,72.4,6,100,8,87.5,14,57.1,0,0,0,0,29,0,0,0,21,0,0,0,0,0,0,0,0,2,32,0,0,0,0,15,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexis Blin,FRA,MFDF,Lecce,Serie A,26,1996,20,1253,0,0.36,0.07,20,0,0,0,0,40.5,81,18.1,87.3,15.3,83,4.24,64.4,0,0.58,0.14,4.32,40.5,1.15,0.72,0.07,32.8,1.22,0,2.52,1.08,61.8,0.94,0.79,1.37,4.03,54.2,0.5,0.14,28.6,0.36,22.3,0.86,0.72,28.1,0.14,0,1.44,1.15,0,1.15,1.08,0,0,5.04,1.8,2.88,38.5
Daley Blind,NED,MFDF,Bayern Munich,Bundesliga,32,1990,2,37,0,2.5,2.5,100,0,0,0,0,52.5,9.52E+01,12.5,100,35,92.9,5,100,0,2.5,0,7.5,52.5,0,0,0,50,5,0,0,0,0,0,0.00E+00,0,10,67.5,0,0,0,0,27.5,0,0,40,0,0,2.5,0,0,0,0,0,0,5,5,2.5,66.7
Myron Boadu,NED,FW,Monaco,Ligue 1,22,2001,4,58,1,1.67,1.67,100,1,0,0,0,10,33.3,6.67,50,1.67,0,0,0,0,0,0,0,10,0,0,0,3.33,0,0,0,0,0,5,0,0,1.67,21.7,1.67,0,0,1.67,16.7,0,0,21.7,0,0,5,1.67,1.67,0,0,0,0,0,5,6.67,42.9
Jerome Boateng,GER,DF,Lyon,Ligue 1,34,1988,6,315,0,0,0,0,0,0,0,0,46.3,79,10.3,80.6,24.9,90.8,9.43,51.5,0,0.57,0,1.71,46.3,0.29,0,0,36.6,0.57,0,0.57,0,33.3,0.57,0.57,1.43,4.29,55.1,0,0,0,0,36.3,0,0,34.6,0,0,0.29,0,0,0.29,0,0,0,2.57,2,0.29,87.5
Kevin-Prince Boateng,GHA,MF,Hertha BSC,Bundesliga,35,1987,9,133,0,0,0,0,0,0,0,0,56,75,24.7,83.8,22.7,76.5,4.67,85.7,0,0,0,5.33,56,2.67,4,0,42,2,0,1.33,0.67,0,0.67,0.67,0,1.33,71.3,0.67,0,0,0.67,44,0,0,48,0.67,0,7.33,1.33,0,2.67,0.67,0,0,7.33,2.67,2.67,50
Antonin Bobichon,FRA,MF,Angers,Ligue 1,27,1995,3,18,0,5,5,100,0,5,0,0,100,60,50,60,25,80,15,66.7,0,5,0,20,100,10,0,5,60,10,0,0,0,0,0,0,0,0,115,0,0,0,0,80,10,5,75,0,0,0,0,0,10,0,0,0,10,0,5,0
Jean-Paul Boetius,NED,MF,Hertha BSC,Bundesliga,28,1994,14,750,0,0.6,0.36,60,0,0,0,0,35.4,72.4,14,78.4,13.1,78,5.18,55.8,0,0.84,0,5.06,35.4,0.48,0,0,25.7,2.17,0,2.41,1.45,36.4,0.84,0,0.96,0.96,48.1,1.2,0.24,20,0.72,23.9,0.36,0.48,28.4,0.24,0,0.96,2.65,0,0.48,1.45,0,0,6.51,0.48,1.69,22.2
Jeremie Boga,CIV,MFFW,Atalanta,Serie A,26,1997,12,393,1,1.82,0.45,25,0.13,0,0,0,51.6,80.2,28.6,83.3,13.2,84.5,5.45,66.7,1.14,3.18,0.91,5.91,51.6,5,1.14,3.18,41.4,7.5,1.36,0.68,0.45,33.3,0.45,0,0,0,66.1,8.18,3.64,44.4,3.18,45.2,7.5,6.36,53.6,0,0,0.68,2.27,0,5,0.45,0,0,3.41,0.68,0.68,50
Emil Bohinen,NOR,MF,Salernitana,Serie A,23,1999,10,338,0,0.53,0,0,0,0,0,0,47.1,87.2,26.1,92.9,15.5,86.4,2.89,63.6,0,1.05,0.26,3.68,47.1,0.26,0,0,41.1,1.84,0,3.68,2.11,77.8,0.53,0.79,2.11,1.32,60.3,1.05,0,0,0.53,31.3,0.79,1.84,35.3,0,0,1.32,1.58,0,0.26,2.11,0,0,8.68,0.26,0.79,25
Quentin Boisgard,FRA,MF,Lorient,Ligue 1,25,1997,5,184,1,3,1.5,50,0.17,0,0,0,49,80.6,30,90,12.5,76,3,33.3,0,2,0,5.5,49,4,0,2.5,39.5,4.5,0.5,3,1,75,0.5,0.5,2,1,68,2,0,0,1.5,45,3.5,2,42,0.5,0,1.5,0.5,0,4,1,0,0,4.5,1,0,100
Willy Boly,CIV,DF,Nott'ham Forest,Premier League,32,1991,8,592,0,0.15,0,0,0,0,0,0,36.4,75.4,10.9,81.9,17.9,84.7,6.36,42.9,0.15,0,0,1.52,36.4,0,0.15,0,27.4,0.76,0.15,1.97,0.91,61.5,0.76,0.61,1.82,5.76,49.1,0.3,0.15,50,0,23.8,0.15,0.15,25.5,0.3,0,0.61,0.76,0.45,0,0.91,0,0,5.3,2.12,1.06,66.7
Giacomo Bonaventura,ITA,MF,Fiorentina,Serie A,33,1989,18,1335,3,2.36,0.61,25.7,0.09,0.07,0,0,43.8,83,20.9,89.6,15.4,86.8,4.19,62.9,0,1.42,0.27,4.8,43.8,1.82,0.27,0.2,36.4,3.18,0.27,1.82,1.28,72,0.47,0,0.95,0.27,54.5,2.16,0.95,43.8,0.61,34.9,2.7,2.97,39.2,0.2,0,0.95,2.16,0.14,1.82,1.28,0.07,0,6.89,0.61,0.81,42.9
Federico Bonazzoli,ITA,FW,Salernitana,Serie A,25,1997,19,904,2,2.8,0.6,21.4,0.07,0.1,0,0,27.6,75,11.5,83.5,9.4,79.8,4.1,73.2,0.1,0.6,0,3.7,27.6,0.4,0,0,20.7,2.2,0.3,0.3,0.1,0,0.7,0.1,0.3,0,39,2,1.2,60,0.8,24,0.9,0.9,29.7,0.1,0,1.2,2.2,0.6,0.4,0.1,0,0,3,0.4,1.1,26.7
Warren Bondo,FRA,MF,Monza,Serie A,19,2003,4,60,0,1.43,0,0,0,0,0,0,72.9,88.2,37.1,92.3,31.4,90.9,1.43,100,0,0,0,7.14,72.9,0,1.43,0,64.3,4.29,0,1.43,0,0,0,0,0,0,85.7,5.71,4.29,75,1.43,64.3,4.29,4.29,72.9,1.43,0,2.86,4.29,0,0,0,0,0,5.71,1.43,0,100
Theo Bongonda,COD,MF,C�diz,La Liga,27,1995,14,808,2,2.11,0.44,21.1,0.11,0.11,0,0,22.7,66.2,12.1,78.9,5.22,74.5,3.22,27.6,0.22,0.33,0,1.67,22.7,3.22,0.11,1,15,1.33,0.33,1.33,1.11,33.3,1.33,0.11,0.22,0.22,34.3,4.11,1.44,35.1,2.22,20.1,2.78,1.56,22.4,0,0,0.67,1.67,0.22,3.22,1.11,0,0,4.89,0.56,1.11,33.3
Kevin Bonifazi,ITA,DF,Bologna,Serie A,26,1996,7,416,0,0.43,0,0,0,0,0,0,54.6,85.7,15.4,90.1,26.1,90.8,12.4,71.9,0,0,0,2.61,54.6,0.22,0,0,46.7,0.65,0,1.3,0.87,50,0.65,0.87,1.3,4.57,67.2,0.22,0,0,0.22,38,0.65,0.65,45.2,0.22,0,0.65,0,0.22,0.22,0.87,0,0,6.09,0.22,2.17,9.1
Leonardo Bonucci,ITA,DF,Juventus,Serie A,35,1987,9,600,1,0.3,0.15,50,0.5,0,0,0.15,52.4,85.2,13.3,92.1,27.5,90.8,11.2,65.3,0,0.45,0,2.39,52.4,0,0,0,44.6,0.9,0.15,0.45,0.45,33.3,0.3,0.9,1.19,3.28,60.1,0.15,0.15,100,0,32.7,0.15,0.3,40.1,0.15,0,1.19,0.6,0.15,0,0.45,0,0,5.37,1.64,1.94,45.8
Neto Borges,BRA,DF,Clermont Foot,Ligue 1,26,1996,20,1711,2,0.84,0.16,18.8,0.13,0,0,0,46.8,77.3,20.8,86.3,20.1,77.4,3.32,55.6,0,1.63,0.63,3.26,46.8,2.79,8.05,0,36.2,2.58,0,2.63,1.58,60,0.95,0.37,1.47,2.11,59.5,3,1.42,47.4,1.37,37.3,1.74,1.47,33.4,0.16,0.05,0.63,1.63,0.16,2.79,1.58,0,0.05,5.47,1.05,0.63,62.5
Yvandro Borges Sanches,LUX,FWMF,M'Gladbach,Bundesliga,18,2004,3,28,0,3.33,0,0,0,0,0,0,30,88.9,6.67,100,13.3,75,3.33,100,0,3.33,3.33,0,30,6.67,0,0,26.7,6.67,0,6.67,6.67,100,0,0,0,0,50,6.67,6.67,100,0,30,3.33,3.33,30,0,0,3.33,0,0,6.67,6.67,0,0,10,0,0,0
Sebastiaan Bornauw,BEL,DF,Wolfsburg,Bundesliga,23,1999,15,1137,0,0.16,0.08,50,0,0,0,0,54.1,83.9,17.3,89.9,28.7,90.3,7.06,53.9,0,0,0,2.94,54.1,0.16,0.63,0,45.4,0.16,0.08,0.95,0.71,60,0.32,0.63,1.43,4.13,63.3,0.16,0,0,0.16,37.1,0.24,0.16,40.2,0.32,0,0.79,0.16,0,0.16,0.71,0,0,4.92,2.38,1.67,58.8
Rafael Borre,COL,FWMF,Eint Frankfurt,Bundesliga,27,1995,18,492,2,2,0.55,27.3,0.09,0,0.18,0.18,35.3,73.7,18.2,83,10.7,74.6,3.09,52.9,0.36,0.55,0.18,2.55,35.3,0.73,0.18,0.18,26,2.73,0.55,2.55,1.82,0,0.91,0.18,0.36,0.73,48.5,3.27,1.64,50,1.45,30.2,1.45,0.91,35.3,0.36,0,2.18,0.91,1.64,0.73,1.82,0,0,5.09,1.45,3.27,30.8
Erik Botheim,NOR,FW,Salernitana,Serie A,23,2000,15,335,1,1.08,0.27,25,0.25,0,0,0,23,6.35E+01,11.1,68.3,6.76,68,0.81,66.7,0.27,0.54,0,2.97,23,0.81,0,0,14.6,2.43,0.27,1.08,0.81,100,0,0.00E+00,0,0.27,31.1,0.81,0.54,66.7,0,15.9,1.89,0.54,23.5,0.27,0,1.89,1.62,0,0.81,0.81,0,0,2.97,2.97,3.51,45.8
Sven Botman,NED,DF,Newcastle Utd,Premier League,23,2000,20,1687,0,0.59,0.21,36.4,0,0,0,0,51.5,85.8,15.1,87.2,26.7,91.6,8.34,71.8,0,0.05,0,2.41,51.5,0,0.16,0,44.2,0.75,0.05,1.28,0.75,70.6,0.27,0.75,0.96,3.58,60.9,0,0,0,0,34,0.32,0.21,39.4,0.05,0,0.48,0.37,0.05,0,0.75,0,0,4.81,1.98,1.02,66.1
Kenji-Van Boto,MAD,DF,Auxerre,Ligue 1,26,1996,1,90,0,1,0,0,0,0,0,0,30,76.7,15,80,8,87.5,4,50,0,0,0,0,30,2,2,0,23,0,0,1,1,50,1,0,1,1,36,0,0,0,0,25,2,2,25,0,0,1,1,0,2,1,0,0,3,1,0,100
Kouame Botue,BFA,FWMF,Ajaccio,Ligue 1,20,2002,7,225,0,2.8,0,0,0,0,0,0,18.4,69.6,12,73.3,4.8,66.7,0,0,0,0.4,0,1.6,18.4,0,0,0,12.8,3.2,0.4,1.6,0.8,0,0.8,0,0,0.4,32.8,2,0.4,20,1.6,21.2,1.6,1.2,22,0,0,2,2.4,0,0,0.8,0,0,5.2,4,6.8,37
Badredine Bouanani,ALG,FWMF,Nice,Ligue 1,18,2004,4,177,0,1.5,0.5,33.3,0,0,0,0,40,78.8,17.5,91.4,14,92.9,4.5,33.3,1.5,1.5,0.5,3,40,4,1,1,31.5,3.5,1.5,0.5,0,0,1.5,0,0,0,49.5,6.5,4.5,69.2,2,36.5,3,2,38,0,0,1,0.5,0,4,0,0,0,5,0,1,0
Hicham Boudaoui,ALG,MF,Nice,Ligue 1,23,1999,13,771,0,0.47,0.23,50,0,0,0,0,50.5,87.3,26.9,88.7,15.8,91.2,2.79,66.7,0.12,0.58,0,3.14,50.5,0.81,0.12,0,44.1,2.44,0.23,3.72,1.63,87,0.35,0.23,1.98,1.05,65.1,2.56,0.58,22.7,1.74,47.2,1.4,1.98,44.4,0.35,0,1.05,2.33,0,0.81,1.63,0,0,6.98,0.7,0.81,46.2
Franci Bouebari,FRA,DF,Strasbourg,Ligue 1,19,2003,2,76,0,0,0,0,0,0,0,0,28.8,56.5,15,66.7,10,62.5,2.5,0,0,0,0,0,28.8,1.25,10,0,16.3,1.25,0,3.75,0,60,2.5,0,2.5,2.5,45,1.25,1.25,100,0,17.5,0,0,16.3,0,0,2.5,0,0,1.25,0,0,0,0,1.25,1.25,50
