Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Goals,Shots,SoT,SoT%,G/Sh,ShoFK,ShoPK,PKatt,PasTotAtt,PasTotCmp%,PasShoAtt,PasShoCmp%,PasMedAtt,PasMedCmp%,PasLonAtt,PasLonCmp%,Assists,PPA,CrsPA,PasProg,PasAtt,PasCrs,TI,CK,PasCmp,SCA,GCA,Tkl,TklWon,TklDri%,TklDriPast,BlkSh,Int,Clr,Touches,ToAtt,ToSuc,ToSuc%,ToTkl,Carries,CarProg,Car3rd,Rec,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,Recov,AerWon,AerLost,AerWon%
Ferland Mendy,FRA,DF,Real Madrid,La Liga,27,1995,14,1127,0,0.08,0,0,0,0,0,0,56.6,91.5,35,95,15.9,88.9,2.64,90.9,0.08,0.64,0,3.84,56.6,0.48,5.2,0,51.8,2.16,0.16,1.36,0.72,61.1,0.56,0.16,1.04,0.96,63.9,2,1.28,64,0.56,39.6,1.76,1.84,45.9,0.16,0,0.32,1.36,0,0.48,0.72,0,0,5.12,0.56,0.48,53.8
Nampalys Mendy,SEN,MF,Leicester City,Premier League,30,1992,11,420,1,0.43,0.21,50,0.5,0,0,0,51.7,86.8,26,91.8,18.9,89.9,3.62,70.6,0,0.21,0,3.19,51.7,0.21,0,0,44.9,0.85,0,1.28,0.85,50,0.85,0.43,1.49,0.21,59.1,0.43,0.43,100,0,33.2,0.21,0.43,41.7,0,0,0.64,1.28,0,0.21,0.85,0,0,6.6,0.21,1.06,16.7
Gideon Mensah,GHA,DF,Auxerre,Ligue 1,24,1998,13,1157,0,0.16,0.08,50,0,0,0,0,60.4,79.7,26.8,89.6,22.7,84.3,7.91,51,0,1.01,0.47,4.73,60.4,2.79,8.91,0,48.1,1.94,0,3.18,1.63,66.7,0.85,0.47,1.63,1.78,71.2,2.4,0.93,38.7,1.16,46.7,2.64,2.17,39.3,0.39,0,1.63,0.54,0.08,2.79,1.63,0,0.08,9.07,1.16,1.16,50
Chris Mepham,WAL,DF,Bournemouth,Premier League,25,1997,18,1559,0,0.35,0.12,33.3,0,0,0,0,40.7,82.5,12.8,90,20.8,90.5,6.07,50.5,0,0.12,0,1.5,40.7,0,0.4,0,33.6,0.29,0,1.45,0.69,61.5,0.29,1.16,0.92,5.95,51.8,0.06,0,0,0,25.3,0.06,0.17,30.8,0.29,0,0.69,0.35,0,0,0.69,0,0,3.41,1.85,1.16,61.5
Alex Meret,ITA,GK,Napoli,Serie A,25,1997,21,1890,0,0,0,0,0,0,0,0,28.4,86.6,5.76,100,12.8,98.9,9.71,62.3,0,0,0,0,28.4,0,0,0,24.6,0.05,0,0,0,0,0,0,0,0.24,29.9,0,0,0,0,16.2,0,0,14.5,0,0,0,0,0,0,0,0,0,1.9,0.1,0,100
Mikel Merino,ESP,MF,Real Sociedad,La Liga,26,1996,16,1285,1,1.68,0.7,41.7,0.04,0,0,0.07,53.2,76.2,23.9,83.9,19.9,81.7,5.73,47.6,0.49,1.33,0.21,6.36,53.2,0.84,0.07,0.07,40.6,3.22,0.63,2.94,1.75,58.1,0.91,0.35,0.98,2.31,67,0.91,0.49,53.8,0.35,35.9,0.98,1.26,44.2,0.28,0,2.73,1.54,0.14,0.84,1.75,0,0,8.04,3.5,1.68,67.6
Quentin Merlin,FRA,DF,Nantes,Ligue 1,20,2002,16,1265,0,0.85,0.21,25,0,0,0,0,64,75.4,22.5,87.7,26.4,78.5,12.6,51.7,0.07,1.13,0.78,4.54,64,6.03,8.44,2.62,48.2,2.98,0.14,1.56,0.92,48,0.92,0.28,1.28,1.49,73.5,1.91,0.92,48.1,0.78,47.9,2.34,1.77,42.8,0.07,0,0.5,0.78,0,6.03,0.92,0,0,5.96,0.78,0.64,55
Roque Mesa,ESP,MF,Valladolid,La Liga,33,1989,16,1068,2,1.43,0.67,47.1,0.12,0,0,0,52.3,82.3,19.3,84.8,20.4,89.3,9.92,70.3,0.08,0.92,0.25,6.81,52.3,0.76,0,0,43,2.44,0.08,1.6,0.67,33.3,1.34,0,0.67,1.18,62.3,1.51,0.84,55.6,0.5,41.8,1.76,1.43,44,0.42,0,2.35,1.93,0,0.76,0.67,0,0.08,7.98,0.5,1.01,33.3
Illan Meslier,FRA,GK,Leeds United,Premier League,22,2000,21,1890,0,0,0,0,0,0,0,0,30.3,60.1,4.52,96.8,9.33,97.4,16.3,28.7,0,0.05,0,0,30.3,0,0,0,18.2,0.1,0,0.05,0,33.3,0.1,0,0.05,0.71,32.8,0,0,0,0,16.3,0,0,11.8,0.1,0,0.05,0.1,0,0,0,0,0,0.86,0.29,0.05,85.7
Lionel Messi,ARG,MFFW,Paris S-G,Ligue 1,35,1987,18,1577,10,4.57,1.94,42.5,0.13,0.74,0,0,66.5,80.1,33.3,87.5,19.3,82.8,7.83,67.9,0.57,4.69,0.06,10.5,66.5,2.63,0.11,2.46,53.3,6.46,1.26,0.97,0.74,46.7,0.46,0,0,0,78.3,6.29,3.37,53.6,2.4,67.8,3.94,4.29,67.9,0,0,0.17,1.54,0.29,2.63,0.74,0,0,2.34,0,0.17,0
